data,Udine,Pordenone,Trieste,Gorizia,nuovi_positivi_Udine,nuovi_positivi_Pordenone,nuovi_positivi_Trieste,nuovi_positivi_Gorizia,incidenza_Udine,incidenza_Pordenone,incidenza_Trieste,incidenza_Gorizia
2021-09-27,1,4,11,0,175,97,170,35,33,31,73,25
2021-09-28,18,11,18,2,183,100,173,35,35,32,75,25
2021-09-29,21,18,52,7,136,99,172,26,26,32,74,19
2021-09-30,18,10,72,7,134,89,226,26,25,29,98,19
2021-10-01,17,27,23,14,116,98,221,38,22,32,95,28
2021-10-02,14,28,29,9,112,107,224,44,21,34,97,32
2021-10-03,28,8,6,4,117,106,211,43,22,34,91,31
2021-10-04,4,3,11,0,120,105,211,43,23,34,91,31
2021-10-05,13,12,11,10,115,106,204,51,22,34,88,37
2021-10-06,29,15,55,9,123,103,207,53,23,33,89,38
2021-10-07,16,9,34,9,121,102,169,55,23,33,73,40
2021-10-08,31,7,21,5,135,82,167,46,26,26,72,33
2021-10-09,12,10,28,5,133,64,166,42,25,21,72,30
2021-10-10,8,6,15,8,113,62,175,46,21,20,76,33
2021-10-11,0,2,27,0,109,61,191,46,21,20,83,33
2021-10-12,13,13,31,3,109,62,211,39,21,20,91,28
2021-10-13,14,11,50,15,94,58,206,45,18,19,89,33
2021-10-14,14,9,52,12,92,58,224,48,17,19,97,35
2021-10-15,20,14,38,7,81,65,241,50,15,21,104,36
2021-10-16,24,12,82,13,93,67,295,58,18,22,127,42
2021-10-17,7,9,10,4,92,70,290,54,17,23,125,39
2021-10-18,5,0,33,0,97,68,296,54,18,22,128,39
2021-10-19,18,16,41,3,102,71,306,54,19,23,132,39
2021-10-20,15,15,63,18,103,75,319,57,20,24,138,41
